X1,X2,X3,X4,X5,X6,X7,y
8.84781905,-10.72814897,-5.615991308,-5.719259037,2.897988287,-4.308970422,4.126057292,1
9.371684434,-8.850613443,-8.03367503,-6.173291754,5.488867477,-4.463843932,3.771393801,1
2.401998887,0.363215509,-2.07149912,-0.746124705,-8.697262938,-10.86531287,9.805743159,0
3.491800776,0.552320804,-0.436834333,-1.360056795,-7.620190029,-10.4180006,9.069072987,0
1.333421331,3.127548141,-1.362879039,-0.918669939,-5.685423011,-9.540653098,9.859431379,0
2.257763154,1.934303019,-0.117920783,-1.35089293,-5.825994056,-7.158115067,8.268471002,0
3.854458236,0.242273232,-2.381223357,-1.542796271,-7.052652159,-11.2172932,12.41898758,0
6.76782577,-8.100577715,-3.32171954,-4.633628498,4.882066599,-5.275952477,5.07892703,1
-4.943227019,-5.58544064,2.216398813,-6.991107329,2.832897176,3.951727859,6.544972998,2
2.062505403,0.815847771,-0.014655441,-0.15683607,-6.798898815,-8.875648387,9.030310992,0
2.028018275,0.065199273,-1.451240338,-0.843472873,-9.756426691,-8.466443288,8.883401551,0
-6.151403049,-6.046469952,2.479451071,-7.145782949,3.88279821,6.634802273,6.029644119,2
-4.213994007,-5.722515276,4.396794147,-8.344817157,2.579688148,7.115729759,6.687527133,2
1.450587837,2.415439332,0.727308209,-2.796027365,-7.742326838,-9.907856657,11.04841017,0
-4.966835792,-5.18672886,3.149302107,-7.522422745,3.832153093,5.624820443,5.817574992,2
1.452825574,0.539160378,-1.797918491,-0.496471773,-6.676803289,-11.46039868,8.262346564,0
5.754505858,-6.195580543,-5.748488882,-5.139095139,5.047767231,-2.837340673,3.311688972,1
7.104857067,-6.940017666,-5.515161117,-4.197334539,4.384287741,-3.99034056,3.566797769,0
-5.125372751,-7.344055249,3.919211678,-6.188647763,4.622129513,8.539143996,7.061088108,2
8.634566906,-7.493180548,-7.129216931,-5.566163746,4.918989765,-4.367432053,3.215910996,1
3.13312179,0.369400929,0.012682354,-0.571648064,-7.926510935,-9.483805807,9.830850809,0
7.854202303,-9.549034855,-7.066644963,-4.494133646,3.433561466,-4.07407151,1.515720104,1
-5.286684152,-8.132016404,4.769723856,-9.413201743,2.896411478,5.960507949,6.472588704,2
3.188484036,2.746647661,0.329116134,0.939131344,-9.127454584,-10.88121476,11.79671879,0
6.240375508,-8.812135147,-6.907174171,-5.584939562,2.934615456,-4.622513358,4.44334434,1
