# val1,val2,val3,val4,val5,val6,val7,val8,val9,val10
9.403118238908528825e-01 7.512751738761629383e-01 2.834910106004048247e-01 7.243574492266234843e-01 1.992565487797357537e-01 3.849423842305335075e-01 5.819452827706304010e-01 3.982368235474498253e-02 9.787383746279876284e-01 4.001704210709741139e-01
7.469906574116909059e-01 4.608217790242110645e-01 6.940397673139655499e-01 4.361167277871769166e-01 9.933817231999523267e-01 9.521797774556933769e-01 2.808046266803865265e-01 9.012140439000142500e-01 5.537179351288999962e-01 3.342526148672602115e-01
2.119323303537898884e-01 9.663126901232562682e-01 6.845273557957426425e-01 3.746970020716147154e-01 9.799509193132541762e-01 3.339795494495779726e-01 4.929681210539039737e-01 2.706089695133941930e-01 2.608252916979759695e-01 7.025779463321341067e-01
8.414803648807156478e-01 7.306271252653505632e-01 1.332760887661548210e-01 7.981086112979790537e-01 1.367569431904256394e-01 5.043555132312829148e-01 4.339504160929010812e-01 7.161107088742026949e-01 5.202052104336840621e-01 6.843527762945520454e-01
3.532832558819575253e-01 1.797823805768125061e-01 3.849778346496310899e-01 2.783425526704748076e-01 5.362659126117561570e-01 9.041480548253325589e-01 2.298780360166688963e-01 7.767066597936755912e-01 5.971107355399369876e-01 8.945699282227440596e-01
6.443429203549367879e-01 8.348338753149794345e-01 6.217081265553107139e-01 5.160988276441271783e-01 6.073775310465061583e-01 2.007603583919205237e-01 1.720602467492161614e-01 1.517006345087679176e-02 9.776864482506109066e-01 1.605530039662739217e-01
4.054534340150628413e-02 3.681433492396921636e-01 2.356447322456611815e-02 6.901259756075668328e-01 7.337444973296096684e-01 9.974034212545065392e-01 5.276206447477206352e-01 7.751634354652571224e-01 1.596936741850930597e-01 6.642982229251139792e-01
7.820971536609492292e-01 6.509876284485498488e-01 3.651429470046307912e-01 4.950323866683598029e-01 1.403079944330881679e-01 7.732025829291455654e-02 9.701129618582740033e-01 4.611308447064182969e-01 8.411167270790828043e-01 6.748047721474137450e-02
8.419929096711542549e-01 3.128727684315791846e-01 1.129373587172564086e-01 4.519429008418872629e-01 6.607554030413054225e-02 8.055171650650372328e-01 2.288357529840394644e-01 3.764408473838734004e-01 3.548810382413328801e-01 1.591746604448798230e-01
9.456305292353892611e-01 6.794537637299066235e-01 6.526724790192505177e-01 5.379893445760886017e-02 2.361548063753168281e-01 3.401536067683216258e-01 7.460630778852765932e-01 1.153349066755083863e-01 2.161368648761888833e-01 6.282601432721598433e-01
5.091826931345373453e-01 7.018464206890303592e-01 2.741744323956446516e-01 2.272890853839550918e-01 3.300175373909197685e-01 6.239286369089839246e-01 6.634622929733844376e-01 8.888178471481844589e-02 4.659820489370256613e-01 6.666185471824631614e-01
8.326140753056820998e-02 8.160211706587672253e-01 5.332876408134852309e-01 9.300883494359976078e-01 1.597747791893525671e-01 7.384846485291822749e-01 6.001949338108998333e-01 7.915055277539675416e-01 8.474093759514114144e-01 2.563959044958026290e-01
5.610969248678865373e-02 1.289846787871464784e-01 1.036900069431023752e-03 8.379349345397731907e-01 1.651554512124432383e-01 1.734976024247405491e-01 9.805577250121298993e-01 3.912493704892265889e-01 9.801212580163726207e-01 4.116292427029206724e-01
